region;comunaId;comuna;sector;poblacion;lat;lng;poder_adquisitivo;nivel_socioeconomico;clase_confianza;confirmaciones;elasticidad_precio;probabilidad_consumo_premium;nivel_educacional;densidad_comercial;perfil_consumo;subscore_ingreso;subscore_educacion;subscore_vivienda;subscore_empleo;subscore_consumo;confianza_score;heat_demanda;heat_oportunidad;oferta_locales;estado_heatmap;pobreza_ingresos_pct;pobreza_multidimensional_pct;hacinamiento_pct;carencia_servicios_basicos_pct;simce_4b_lectura;simce_4b_matematica;empresas_total;empresas_grandes_pct;empresas_micro_pct;empresas_per_1000hab;idd_proyeccion;iam_proyeccion;extranjeros_pct
valparaiso;algarrobo;Algarrobo;Costa;14000;-33.3667;-71.6667;51.2;Medio;alta;2/3;media;0.13;medio-bajo;baja;medio turistico estacional;0.534;0.391;0.709;0.352;0.527;1;4;8;0;estandar;6.1;19.6;6.6;23.8;261;240;1509;4.8;73.1;107.8;63.9;63.9;3.7
valparaiso;cartagena;Cartagena;Costa;25000;-33.55;-71.6;25;Bajo;media;1/3;media-alta;0.01;bajo;baja;sensible al precio urbano;0.356;0.152;0.449;0.155;0;1;5;12;0;sensible-precio;7.4;28.4;8.7;19.1;248;239;1287;3.5;80.7;51.5;62.5;62.5;2.7
valparaiso;el-quisco;El Quisco;Costa;18000;-33.4;-71.7;44.5;Medio-Bajo;media;1/3;media;0.07;medio-bajo;baja;sensible al precio urbano;0.137;0.366;0.835;0.089;1;1;5;0;37;saturada;9;11.7;6.4;14.3;257;243;1255;1.5;83;69.7;70.1;70.1;5.1
valparaiso;el-tabo;El Tabo;Costa;14000;-33.45;-71.6667;49.3;Medio;media;1/3;media;0.11;bajo;baja;medio turistico estacional;0.918;0.044;0.556;0.191;0.461;1;4;0;37;saturada;3.3;20.7;6.2;44.5;245;234;1041;3.2;83.5;74.4;68.4;68.4;2.1
valparaiso;santo-domingo;Santo Domingo;Costa;11000;-33.65;-71.6167;62.9;Medio;alta;2/3;media-baja;0.33;medio-bajo;baja;medio urbano;0.548;0.59;0.431;1;0.737;1;3;7;0;estandar;6;16.1;7.6;36.7;264;250;2543;16.9;49.5;231.2;54.3;54.3;2.4
valparaiso;san-felipe;San Felipe;Cordillera;80000;-32.75;-70.7333;52.6;Medio;alta;2/3;media;0.15;medio-bajo;media;medio agricola;0.411;0.61;0.769;0.177;0.671;1;23;49;0;estandar;7;17.2;7.4;6.4;266;249;5103;3.4;76.5;63.8;51.3;51.3;6.6
valparaiso;catemu;Catemu;Cordillera;13000;-32.7833;-70.9667;30;Medio-Bajo;alta;2/3;media-alta;0.02;medio-bajo;baja;sensible al precio minero periferico;0;0.376;0.613;0.087;0.593;1;3;6;0;sensible-precio;12;18.5;7.4;21.7;261;239;800;1.8;80.4;61.5;53.9;53.9;3.3
valparaiso;llay-llay;Llay Llay;Cordillera;23000;-32.85;-70.9667;34.4;Medio-Bajo;media;1/3;media-alta;0.03;medio-bajo;baja;sensible al precio urbano;0.11;0.288;0.601;0.113;0.772;1;5;12;0;estandar;9.2;15.5;7.9;15.7;261;233;1248;2.6;80.9;54.3;53.1;53.1;3.3
valparaiso;panquehue;Panquehue;Cordillera;7500;-32.75;-70.8833;45.5;Medio;alta;3/3;media;0.08;medio;baja;medio urbano;0.068;1;0.422;0.394;0.605;1;2;4;0;estandar;9.5;18.3;9.5;10.3;275;265;525;7.2;72.6;70;50.7;50.7;0.9
valparaiso;putaendo;Putaendo;Cordillera;15000;-32.6333;-70.7333;16.3;Bajo;media;1/3;alta;0;bajo;baja;sensible al precio rural-agricola;0;0.029;0.503;0.066;0.311;1;3;6;0;sensible-precio;10;23.2;8.5;16.7;246;233;929;1.4;81.8;61.9;57.2;57.2;1.8
valparaiso;santa-maria;Santa María;Cordillera;13500;-32.75;-70.6833;36.3;Medio-Bajo;media;1/3;media-alta;0.03;medio-bajo;baja;sensible al precio urbano;0.151;0.443;0.605;0.207;0.515;1;3;7;0;estandar;8.9;19.8;8.4;8.2;264;240;976;3.6;76.7;72.3;51.9;51.9;1.7
valparaiso;quilpue;Quilpué;Interior;175000;-33.05;-71.4333;59.1;Medio;alta;2/3;media;0.25;medio-bajo;baja;medio urbano;0.616;0.447;0.962;0.086;0.743;1;52;8;14;estandar;5.5;16;5.9;9;260;245;7830;2.5;79.4;44.7;52.8;52.8;3
valparaiso;limache;Limache;Interior;50000;-32.9833;-71.2667;43.1;Medio-Bajo;media;1/3;media;0.06;medio-bajo;media;sensible al precio urbano;0.425;0.413;0.53;0.117;0.647;1;13;28;0;estandar;6.9;17.6;8.4;15.5;258;245;3158;2.3;76.9;63.2;55.3;55.3;2.9
valparaiso;olmue;Olmué;Interior;15000;-33;-71.1833;18.7;Bajo;media;1/3;alta;0.01;bajo;baja;sensible al precio urbano;0.342;0.093;0.121;0.136;0.138;1;3;7;0;sensible-precio;7.5;26.1;9.9;34.1;248;235;1144;2.1;79.7;76.3;57.4;57.4;2.4
valparaiso;villa-alemana;Villa Alemana;Interior;145000;-33.05;-71.3833;67.8;Medio-Alto;media;1/3;media-baja;0.45;medio-bajo;muy-alta;premium urbano;0.767;0.639;0.973;0.032;0.802;1;46;100;0;estandar;4.4;15;5.7;7.9;266;251;5443;1.5;82.1;37.5;52;52;2.1
